,location,recording_date_time,species_code,Year_since_logging,mean_amp,SM2
13345,H23-CC-158,2023-06-12 06:18:00,TEWA,4,-47.48,0
13346,H23-CC-158,2023-06-12 06:18:00,WTSP,4,-53.385,0
13347,H23-CC-158,2023-06-12 06:18:00,WTSP,4,-50.69,0
13348,H23-CC-158,2023-06-12 07:48:00,WTSP,4,-56.335,0
13349,H23-CC-158,2023-06-12 07:48:00,WTSP,4,-52.555,0
13350,H23-CC-158,2023-06-12 07:48:00,WTSP,4,-52.475,0
13351,H23-CC-158,2023-06-12 07:48:00,TEWA,4,-45.72,0
13352,H23-CC-158,2023-06-12 07:48:00,WTSP,4,-56.855,0
13353,H23-CC-158,2023-06-12 07:48:00,WTSP,4,-51.515,0
13354,H23-CC-158,2023-06-12 07:48:00,OSFL,4,-46.06,0
13355,H23-CC-158,2023-06-14 08:33:00,WTSP,4,-42.015,0
13356,H23-CC-158,2023-06-14 08:33:00,WTSP,4,-44.71,0
13357,H23-CC-158,2023-06-14 08:33:00,WTSP,4,-49.25,0
13358,H23-CC-158,2023-06-14 09:18:00,WTSP,4,-48.61,0
13359,H23-CC-158,2023-06-18 07:18:00,WTSP,4,-45.375,0
13360,H23-CC-158,2023-06-18 07:18:00,WTSP,4,-38.69,0
13361,H23-CC-158,2023-06-18 07:18:00,WTSP,4,-45.795,0
13362,H23-CC-158,2023-06-18 07:18:00,WTSP,4,-51.65,0
13363,H23-CC-158,2023-06-18 07:18:00,WTSP,4,-33.489999999999995,0
13364,H23-CC-158,2023-06-21 05:48:00,WTSP,4,-48.73,0
13365,H23-CC-158,2023-06-21 05:48:00,WTSP,4,-51.725,0
13366,H23-CC-158,2023-06-21 05:48:00,WTSP,4,-55.04,0
13367,H23-CC-158,2023-06-21 05:48:00,OSFL,4,-45.825,0
13368,H23-CC-158,2023-06-21 05:48:00,WTSP,4,-57.755,0
13369,H23-CC-158,2023-06-21 06:18:00,WTSP,4,-49.44499999999999,0
13370,H23-CC-158,2023-06-21 06:18:00,OSFL,4,-46.215,0
13371,H23-CC-158,2023-06-21 06:18:00,WTSP,4,-53.535,0
13372,H23-CC-158,2023-06-21 06:18:00,WTSP,4,-45.415,0
13373,H23-CC-158,2023-06-21 09:03:00,WTSP,4,-46.735,0
13374,H23-CC-158,2023-06-21 09:03:00,WTSP,4,-48.555,0
13375,H23-CC-158,2023-06-21 09:03:00,WTSP,4,-45.23,0
13376,H23-CC-158,2023-06-21 09:03:00,OSFL,4,-38.045,0
13377,H23-CC-161,2023-06-08 06:19:00,WTSP,7,-58.66,0
13378,H23-CC-161,2023-06-08 06:19:00,WTSP,7,-50.66,0
13379,H23-CC-161,2023-06-08 06:49:00,WTSP,7,-54.195,0
13380,H23-CC-161,2023-06-08 06:49:00,WTSP,7,-56.42,0
13381,H23-CC-161,2023-06-08 07:04:00,WTSP,7,-58.725,0
13382,H23-CC-161,2023-06-08 07:04:00,WTSP,7,-57.57,0
13383,H23-CC-161,2023-06-08 07:04:00,WTSP,7,-47.87,0
13384,H23-CC-161,2023-06-09 06:34:00,WTSP,7,-55.82,0
13385,H23-CC-161,2023-06-09 06:34:00,WTSP,7,-55.525,0
13386,H23-CC-161,2023-06-09 06:34:00,WTSP,7,-48.510000000000005,0
13387,H23-CC-161,2023-06-10 08:04:00,WTSP,7,-54.125,0
13388,H23-CC-161,2023-06-10 08:49:00,WTSP,7,-55.085,0
13389,H23-CC-161,2023-06-10 08:49:00,WTSP,7,-46.565,0
13390,H23-CC-161,2023-06-10 08:49:00,WTSP,7,-46.47,0
13391,H23-CC-161,2023-06-11 06:33:00,WTSP,7,-45.565,0
13392,H23-CC-161,2023-06-11 06:33:00,WTSP,7,-44.39,0
13393,H23-CC-161,2023-06-12 09:03:00,WTSP,7,-40.06,0
13394,H23-CC-161,2023-06-12 09:18:00,WTSP,7,-55.785,0
13395,H23-CC-161,2023-06-12 09:18:00,WTSP,7,-44.9,0
13396,H23-CC-161,2023-06-12 09:18:00,WTSP,7,-46.535,0
13397,H23-CC-161,2023-06-12 09:18:00,WTSP,7,-52.46,0
13398,H23-CC-161,2023-06-13 08:03:00,WTSP,7,-51.465,0
13399,H23-CC-161,2023-06-13 08:18:00,WTSP,7,-45.835,0
13400,H23-CC-161,2023-06-17 09:03:00,WTSP,7,-36.650000000000006,0
13401,H23-CC-161,2023-06-18 07:33:00,WTSP,7,-45.81,0
13402,H23-CC-161,2023-06-18 07:33:00,WTSP,7,-41.415,0
13403,H23-CC-161,2023-06-18 07:33:00,WTSP,7,-40.585,0
13404,H23-CC-161,2023-06-18 07:48:00,WTSP,7,-45.59,0
13405,H23-CC-161,2023-06-18 07:48:00,WTSP,7,-47.745000000000005,0
13406,H23-CC-163,2023-06-08 06:34:00,WTSP,7,-50.585,0
13407,H23-CC-163,2023-06-08 06:34:00,WTSP,7,-50.1,0
13408,H23-CC-163,2023-06-08 06:34:00,WTSP,7,-41.07,0
13409,H23-CC-163,2023-06-08 06:34:00,WTSP,7,-44.63,0
13410,H23-CC-163,2023-06-08 06:34:00,WTSP,7,-52.525,0
13411,H23-CC-163,2023-06-08 07:04:00,WTSP,7,-55.88,0
13412,H23-CC-163,2023-06-08 07:04:00,WTSP,7,-51.355,0
13413,H23-CC-163,2023-06-08 07:04:00,WTSP,7,-46.815,0
13414,H23-CC-163,2023-06-08 07:19:00,WTSP,7,-47.955,0
13415,H23-CC-163,2023-06-08 07:19:00,WTSP,7,-46.19,0
13416,H23-CC-163,2023-06-08 07:19:00,WTSP,7,-55.435,0
13417,H23-CC-163,2023-06-10 07:19:00,WTSP,7,-49.02,0
13418,H23-CC-163,2023-06-10 08:04:00,WTSP,7,-43.095,0
13419,H23-CC-163,2023-06-10 08:04:00,WTSP,7,-42.56,0
13420,H23-CC-163,2023-06-11 06:18:00,WTSP,7,-44.66,0
13421,H23-CC-163,2023-06-11 06:18:00,WTSP,7,-49.585,0
13422,H23-CC-163,2023-06-11 06:18:00,WTSP,7,-48.46,0
13423,H23-CC-163,2023-06-11 06:18:00,RCKI,7,-48.33,0
13424,H23-CC-163,2023-06-11 07:03:00,WTSP,7,-43.02,0
13425,H23-CC-163,2023-06-11 07:03:00,WTSP,7,-45.755,0
13426,H23-CC-163,2023-06-11 07:03:00,WTSP,7,-43.545,0
13427,H23-CC-163,2023-06-11 07:03:00,TEWA,7,-41.93,0
13428,H23-CC-163,2023-06-11 07:03:00,WTSP,7,-42.84,0
