location,recording_date_time
H-RS-6-14,2021-06-17 9:00
H-RS-6-32,2021-06-17 9:00
H-RS-6-46,2021-06-17 9:00
H-CC-12-11,2021-06-17 9:20
H-CC-6-47,2021-06-17 9:20
H-CC-6-6,2021-06-17 9:20
H-CC-12-11,2021-06-18 5:20
H-CC-6-47,2021-06-18 5:20
H-RS-12-9,2021-06-18 5:20
H-RS-3-23,2021-06-18 5:20
H-RS-12-1,2021-06-18 5:40
H-RS-12-8,2021-06-18 5:40
H-RS-3-23,2021-06-18 5:40
H-CC-6-47,2021-06-18 6:00
H-RS-12-8,2021-06-18 6:00
H-RS-6-46,2021-06-18 6:00
H-RS-12-8,2021-06-18 6:20
H-RS-6-46,2021-06-18 6:20
H-CC-6-47,2021-06-18 6:40
H-RS-12-9,2021-06-18 6:40
H-RS-6-45,2021-06-18 6:40
H-RS-6-46,2021-06-18 6:40
H-CC-12-11,2021-06-18 7:00
H-CC-6-47,2021-06-18 7:00
H-RS-6-45,2021-06-18 7:00
H-CC-6-47,2021-06-18 7:20
H-RS-3-52,2021-06-18 7:20
H-RS-3-60,2021-06-18 7:20
H-RS-6-45,2021-06-18 7:20
H-RS-6-46,2021-06-18 7:20
H-CC-12-11,2021-06-18 7:40
H-RS-3-52,2021-06-18 7:40
H-RS-6-45,2021-06-18 7:40
H-CC-6-47,2021-06-18 8:00
H-RS-3-60,2021-06-18 8:00
H-RS-6-45,2021-06-18 8:00
H-RS-6-46,2021-06-18 8:00
H-RS-6-46,2021-06-18 8:20
H-RS-3-60,2021-06-18 8:40
H-RS-6-46,2021-06-18 8:40
H-CC-12-11,2021-06-18 9:00
H-RS-3-52,2021-06-18 9:00
H-RS-6-46,2021-06-18 9:00
H-CC-6-47,2021-06-18 9:20
H-CC-3-2,2021-06-19 5:20
H-RS-3-21,2021-06-19 5:40
H-RS-3-60,2021-06-19 5:40
H-RS-3-4,2021-06-19 6:00
H-RS-12-1,2021-06-19 6:20
H-RS-12-8,2021-06-19 6:20
H-RS-3-19,2021-06-19 6:20
H-RS-3-4,2021-06-19 6:20
H-CC-3-2,2021-06-19 6:40
H-RS-3-23,2021-06-19 6:40
H-CC-3-20,2021-06-19 7:00
H-RS-3-19,2021-06-19 7:00
H-RS-3-52,2021-06-19 7:00
H-RS-3-4,2021-06-19 7:20
H-RS-3-60,2021-06-19 7:20
H-CC-3-20,2021-06-19 7:40
H-RS-12-8,2021-06-19 7:40
H-RS-12-9,2021-06-19 7:40
H-RS-3-21,2021-06-19 7:40
H-RS-3-60,2021-06-19 7:40
H-RS-3-19,2021-06-19 8:00
H-RS-3-1,2021-06-19 8:20
H-RS-3-19,2021-06-19 8:20
H-RS-12-8,2021-06-19 8:40
H-RS-3-19,2021-06-19 8:40
H-RS-3-21,2021-06-19 8:40
H-RS-3-1,2021-06-19 9:00
H-RS-3-23,2021-06-19 9:00
H-RS-12-8,2021-06-20 5:20
H-RS-3-1,2021-06-20 5:20
H-RS-3-4,2021-06-20 5:20
H-RS-3-1,2021-06-20 5:40
H-RS-3-21,2021-06-20 5:40
H-RS-12-1,2021-06-20 6:00
H-RS-12-1,2021-06-20 6:20
H-RS-3-1,2021-06-20 6:20
H-RS-3-23,2021-06-20 6:20
H-RS-3-52,2021-06-20 6:20
H-RS-12-1,2021-06-20 6:40
H-RS-3-1,2021-06-20 6:40
H-RS-3-4,2021-06-20 6:40
H-RS-12-9,2021-06-20 7:00
H-RS-3-3,2021-06-20 7:00
H-RS-3-60,2021-06-20 7:00
H-RS-3-3,2021-06-20 7:20
H-RS-3-52,2021-06-20 7:20
H-RS-3-60,2021-06-20 7:20
H-RS-12-9,2021-06-20 7:40
H-RS-3-3,2021-06-20 7:40
H-RS-3-4,2021-06-20 7:40
H-CC-3-2,2021-06-20 8:00
H-RS-12-8,2021-06-20 8:00
H-RS-3-21,2021-06-20 8:00
H-RS-3-4,2021-06-20 8:00
H-CC-3-20,2021-06-20 8:20
H-RS-12-1,2021-06-20 8:20
H-RS-3-23,2021-06-20 8:20
H-RS-3-4,2021-06-20 8:20
H-RS-3-60,2021-06-20 8:20
H-RS-12-9,2021-06-20 8:40
H-RS-3-3,2021-06-20 8:40
H-RS-3-4,2021-06-20 8:40
H-RS-3-52,2021-06-20 8:40
H-RS-12-9,2021-06-20 9:00
H-CC-3-2,2021-06-20 9:20
H-CC-3-20,2021-06-20 9:20
H-RS-22-34,2021-06-21 5:20
H-RS-22-45,2021-06-21 5:20
H-RS-22-47,2021-06-21 5:20
H-RS-3-23,2021-06-21 5:20
H-RS-3-3,2021-06-21 5:20
H-RS-3-4,2021-06-21 5:20
H-RS-12-8,2021-06-21 5:40
H-RS-22-32,2021-06-21 5:40
H-RS-22-47,2021-06-21 5:40
H-RS-3-19,2021-06-21 5:40
H-RS-3-4,2021-06-21 5:40
H-CC-22-35,2021-06-21 6:00
H-RS-22-30,2021-06-21 6:00
H-RS-22-32,2021-06-21 6:00
H-RS-22-36,2021-06-21 6:00
H-RS-22-38,2021-06-21 6:00
H-RS-22-45,2021-06-21 6:00
H-RS-3-19,2021-06-21 6:00
H-RS-3-60,2021-06-21 6:00
H-CC-22-33,2021-06-21 6:20
H-CC-30-24,2021-06-21 6:20
H-RS-22-30,2021-06-21 6:20
H-RS-22-34,2021-06-21 6:20
H-RS-22-36,2021-06-21 6:20
H-RS-22-47,2021-06-21 6:20
H-RS-3-3,2021-06-21 6:20
H-CC-3-20,2021-06-21 6:40
H-RS-22-30,2021-06-21 6:40
H-RS-22-32,2021-06-21 6:40
H-RS-22-34,2021-06-21 6:40
H-RS-22-36,2021-06-21 6:40
H-RS-22-38,2021-06-21 6:40
H-RS-22-46,2021-06-21 6:40
H-RS-22-47,2021-06-21 6:40
H-RS-3-3,2021-06-21 6:40
H-RS-3-4,2021-06-21 6:40
H-RS-3-60,2021-06-21 6:40
H-CC-3-2,2021-06-21 7:00
H-CC-3-20,2021-06-21 7:00
H-RS-22-36,2021-06-21 7:00
H-RS-22-47,2021-06-21 7:00
H-RS-3-1,2021-06-21 7:00
H-RS-3-3,2021-06-21 7:00
H-RS-3-4,2021-06-21 7:00
H-RS-3-52,2021-06-21 7:00
H-RS-3-60,2021-06-21 7:00
H-CC-22-33,2021-06-21 7:20
H-RS-22-32,2021-06-21 7:20
